  PID TTY           TIME CMD
  667 ??         4:34.66 /System/Library/ExtensionKit/Extensions/WallpaperAerialsExtension.appex/Contents/MacOS/WallpaperAerialsExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS53YWxscGFwZXIuZXh0ZW5zaW9uLmFlcmlhbHMiLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwidHlwZSI6MX0=
  669 ??         0:02.20 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent
  670 ??         1:48.41 /usr/sbin/usernoted
  672 ??         3:54.62 /usr/libexec/nearbyd
  680 ??         4:32.42 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
  685 ??         0:00.44 /usr/libexec/rosetta/oahd
  690 ??         1:16.09 /System/Library/CoreServices/lockoutagent
  702 ??         0:44.54 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
  703 ??         0:06.29 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
  708 ??         0:41.20 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  710 ??         0:44.30 /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem system_app_start
  715 ??         5:11.61 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  719 ??         2:34.62 /usr/libexec/wifianalyticsd
  727 ??         2:28.80 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  730 ??         6:58.37 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  731 ??         0:43.50 /System/Applications/Stocks.app/Contents/PlugIns/StocksWidget.appex/Contents/MacOS/StocksWidget -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5zdG9ja3Mud2lkZ2V0IiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2UsInR5cGUiOjF9
  733 ??         0:01.38 /System/Library/CoreServices/ControlCenter.app/Contents/PlugIns/DisplayControls.appex/Contents/MacOS/DisplayControls -LaunchArguments eyJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuY29udHJvbHMuZGlzcGxheSJ9
  740 ??         0:17.51 /usr/sbin/distnoted agent
  745 ??        35:44.30 /opt/homebrew/opt/mongodb-community/bin/mongod --config /opt/homebrew/etc/mongod.conf
  747 ??        24:12.71 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
  752 ??         0:00.91 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
  755 ??         0:00.03 /bin/sh /opt/homebrew/opt/mysql/bin/mysqld_safe --datadir=/opt/homebrew/var/mysql
  756 ??         2:19.87 /System/Library/Image Capture/Support/icdd
  757 ??         2:25.59 /Library/Application Support/Malwarebytes/MBAM/Engine.bundle/Contents/PlugIns/FrontendAgent.app/Contents/MacOS/FrontendAgent
  762 ??         0:06.10 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
  765 ??         0:13.57 /System/Library/CoreServices/diagnostics_agent
  766 ??         0:13.97 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
  770 ??         0:01.19 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
  771 ??         0:19.68 /System/Library/PrivateFrameworks/CloudDocs.framework/PlugIns/com.apple.CloudDocs.iCloudDriveFileProvider.appex/Contents/MacOS/com.apple.CloudDocs.iCloudDriveFileProvider -LaunchArguments eyJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuQ2xvdWREb2NzLmlDbG91ZERyaXZlRmlsZVByb3ZpZGVyIn0=
  780 ??        16:59.88 /Applications/Adobe Acrobat DC/Adobe Acrobat.app/Contents/Helpers/AdobeResourceSynchronizer.app/Contents/MacOS/AdobeResourceSynchronizer
  781 ??         3:50.35 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
  782 ??         2:43.49 /usr/libexec/gamepolicyd
  783 ??         1:50.65 /System/Library/PrivateFrameworks/TextInputUIMacHelper.framework/Versions/A/XPCServices/CursorUIViewService.xpc/Contents/MacOS/CursorUIViewService
  785 ??         0:18.80 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension -AppleLanguages ("en-IN")
  791 ??         0:00.86 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
  818 ??        98:08.32 /Applications/Spotify.app/Contents/MacOS/Spotify
  826 ??         0:07.43 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
  831 ??         0:11.44 /usr/libexec/avconferenced
  845 ??         0:03.14 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
  855 ??         0:00.33 /System/Library/ExtensionKit/Extensions/HostInferenceProviderService.appex/Contents/MacOS/HostInferenceProviderService -LaunchArguments eyJ0eXBlIjo4LCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5Ib3N0SW5mZXJlbmNlUHJvdmlkZXJTZXJ2aWNlIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
  857 ??         0:17.40 /usr/sbin/distnoted agent
  886 ??         0:17.33 /usr/sbin/distnoted agent
  888 ??         0:01.38 /Applications/Spotify.app/Contents/Frameworks/Spotify Helper.app/Contents/MacOS/Spotify Helper --monitor-self-annotation=ptype=crashpad-handler --type=crashpad-handler --max-uploads=5 --max-db-size=20 --max-db-age=5 --database=/Users/tanushshoor/Library/Caches/com.spotify.client --url=https://crashdump.spotify.com:443/ --annotation=platform=macosarm64 --annotation=product=spotify --annotation=version=1.2.98.301 --handshake-fd=6
  890 ??         2:55.84 /Applications/Spotify.app/Contents/Frameworks/Spotify Helper.app/Contents/MacOS/Spotify Helper --type=gpu-process --start-stack-profiler --user-data-dir=/Users/tanushshoor/Library/Caches/com.spotify.client --log-severity=disable --user-agent-product=Chrome/146.0.7680.179 Spotify/1.2.98.301 --gpu-preferences=SAAAAAAAAAAgAQAEAAAAAAAAAAAAAGAAAwAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAQAAAAAAAAABAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --metrics-shmem-handle=1752395122,r,1913303593392602271,7094414260766495150,262144 --field-trial-handle=1718379636,r,6800010134276582739,4632615330662891077,262144 --disable-features=AutofillActorMode,BackForwardCache,FullscreenBubbleShowOrigin,GatherProcessRequirementMetrics,GlicActorUi,LensOverlay,MacAppCodeSignClone,PartitionAllocDanglingPtr,PartitionAllocUnretainedDanglingPtr,StorageNotificationService --variations-seed-version --pseudonymization-salt-handle=1935764596,r,1928621446732112305,11215023594940314413,4 --trace-process-track-uuid=3190708988185955192 --seatbelt-client=27
  891 ??         4:39.06 /Applications/Spotify.app/Contents/Frameworks/Spotify Helper.app/Contents/MacOS/Spotify Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en --service-sandbox-type=network --start-stack-profiler --user-data-dir=/Users/tanushshoor/Library/Caches/com.spotify.client --log-severity=disable --user-agent-product=Chrome/146.0.7680.179 Spotify/1.2.98.301 --shared-files --metrics-shmem-handle=1752395122,r,7453458038159395867,7452180947597834363,524288 --field-trial-handle=1718379636,r,6800010134276582739,4632615330662891077,262144 --disable-features=AutofillActorMode,BackForwardCache,FullscreenBubbleShowOrigin,GatherProcessRequirementMetrics,GlicActorUi,LensOverlay,MacAppCodeSignClone,PartitionAllocDanglingPtr,PartitionAllocUnretainedDanglingPtr,StorageNotificationService --variations-seed-version --pseudonymization-salt-handle=1935764596,r,1928621446732112305,11215023594940314413,4 --trace-process-track-uuid=3190708989122997041 --seatbelt-client=24
  898 ??         0:32.94 /Applications/Spotify.app/Contents/Frameworks/Spotify Helper.app/Contents/MacOS/Spotify Helper --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en --service-sandbox-type=service --user-data-dir=/Users/tanushshoor/Library/Caches/com.spotify.client --log-severity=disable --user-agent-product=Chrome/146.0.7680.179 Spotify/1.2.98.301 --shared-files --metrics-shmem-handle=1752395122,r,4848302818858522805,5647946011796031550,524288 --field-trial-handle=1718379636,r,6800010134276582739,4632615330662891077,262144 --disable-features=AutofillActorMode,BackForwardCache,FullscreenBubbleShowOrigin,GatherProcessRequirementMetrics,GlicActorUi,LensOverlay,MacAppCodeSignClone,PartitionAllocDanglingPtr,PartitionAllocUnretainedDanglingPtr,StorageNotificationService --variations-seed-version --pseudonymization-salt-handle=1935764596,r,1928621446732112305,11215023594940314413,4 --trace-process-track-uuid=3190708990060038890 --seatbelt-client=43
  913 ??        75:36.92 /Applications/Spotify.app/Contents/Frameworks/Spotify Helper (Renderer).app/Contents/MacOS/Spotify Helper (Renderer) --type=renderer --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --user-data-dir=/Users/tanushshoor/Library/Caches/com.spotify.client --log-severity=disable --user-agent-product=Chrome/146.0.7680.179 Spotify/1.2.98.301 --autoplay-policy=no-user-gesture-required --enable-blink-features=DocumentPictureInPictureCefOptions --lang=en --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=7 --time-ticks-at-unix-epoch=-1787835896174775 --launch-time-ticks=39089397 --shared-files --metrics-shmem-handle=1752395122,r,1975413776717057987,17704789208395174863,2097152 --field-trial-handle=1718379636,r,6800010134276582739,4632615330662891077,262144 --disable-features=AutofillActorMode,BackForwardCache,FullscreenBubbleShowOrigin,GatherProcessRequirementMetrics,GlicActorUi,LensOverlay,MacAppCodeSignClone,PartitionAllocDanglingPtr,PartitionAllocUnretainedDanglingPtr,StorageNotificationService --variations-seed-version --pseudonymization-salt-handle=1935764596,r,1928621446732112305,11215023594940314413,4 --trace-process-track-uuid=3190708992871164437 --seatbelt-client=162
  940 ??         0:17.08 /usr/sbin/distnoted agent
  958 ??         0:00.33 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x100000fd8 com.apple.IOUserBluetoothSerialDriver
  959 ??         0:00.37 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x100000fda com.apple.IOUserBluetoothSerialDriver
  961 ??         0:00.35 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x100000fdc com.apple.IOUserBluetoothSerialDriver
  962 ??         0:00.31 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x100000fde com.apple.IOUserBluetoothSerialDriver
  963 ??         0:00.31 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x100000fe0 com.apple.IOUserBluetoothSerialDriver
  964 ??         0:00.30 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x100000fe2 com.apple.IOUserBluetoothSerialDriver
  966 ??         0:00.29 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x100000fe4 com.apple.IOUserBluetoothSerialDriver
  967 ??         0:32.94 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
  972 ??         7:07.51 /opt/homebrew/opt/mysql/bin/mysqld --basedir=/opt/homebrew/opt/mysql --datadir=/opt/homebrew/var/mysql --plugin-dir=/opt/homebrew/opt/mysql/lib/plugin --log-error=Tanushs-MacBook-Pro.local.err --pid-file=Tanushs-MacBook-Pro.local.pid
  976 ??         0:53.24 /System/Library/CoreServices/Screen Time.app/Contents/PlugIns/ScreenTimeWidgetExtension.appex/Contents/MacOS/ScreenTimeWidgetExtension -LaunchArguments eyJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuU2NyZWVuVGltZVdpZGdldEFwcGxpY2F0aW9uLlNjcmVlblRpbWVXaWRnZXRFeHRlbnNpb24ifQ==
  977 ??         0:22.29 /System/Applications/Calendar.app/Contents/PlugIns/CalendarWidgetExtension.appex/Contents/MacOS/CalendarWidgetExtension -LaunchArguments eyJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuaUNhbC5DYWxlbmRhcldpZGdldEV4dGVuc2lvbiJ9
  978 ??         0:10.55 /System/Applications/Photos.app/Contents/PlugIns/PhotosReliveWidget.appex/Contents/MacOS/PhotosReliveWidget -LaunchArguments eyJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuUGhvdG9zLlBob3Rvc1JlbGl2ZVdpZGdldCJ9
  982 ??         0:17.15 /usr/sbin/distnoted agent
  987 ??         0:17.15 /usr/sbin/distnoted agent
 1017 ??         0:26.34 /Applications/Spotify.app/Contents/Frameworks/Spotify Helper.app/Contents/MacOS/Spotify Helper --type=utility --utility-sub-type=media.mojom.CdmServiceBroker --lang=en --service-sandbox-type=cdm --user-data-dir=/Users/tanushshoor/Library/Caches/com.spotify.client --log-severity=disable --user-agent-product=Chrome/146.0.7680.179 Spotify/1.2.98.301 --shared-files --metrics-shmem-handle=1752395122,r,13212772614636574279,8008637652063670700,524288 --field-trial-handle=1718379636,r,6800010134276582739,4632615330662891077,262144 --disable-features=AutofillActorMode,BackForwardCache,FullscreenBubbleShowOrigin,GatherProcessRequirementMetrics,GlicActorUi,LensOverlay,MacAppCodeSignClone,PartitionAllocDanglingPtr,PartitionAllocUnretainedDanglingPtr,StorageNotificationService --variations-seed-version --pseudonymization-salt-handle=1935764596,r,1928621446732112305,11215023594940314413,4 --trace-process-track-uuid=3190708997556373682 --seatbelt-client=394
 1018 ??        42:55.09 /usr/sbin/mDNSResponder
 1043 ??         0:38.01 /System/Library/PrivateFrameworks/CoreFP.framework/Versions/A/fairplayd
 1045 ??         0:10.14 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
 1068 ??         0:17.53 /usr/sbin/distnoted agent
 1070 ??         0:00.61 /usr/libexec/lsd
 1120 ??         0:16.94 /usr/sbin/distnoted agent
 1135 ??         0:35.94 /System/Library/PrivateFrameworks/People.framework/peopled
 1144 ??         0:09.78 /System/Library/CoreServices/SubmitDiagInfo server-init
 1151 ??         0:00.11 /System/Library/CoreServices/CrashReporterSupportHelper server-init
 1202 ??         0:16.80 /usr/sbin/distnoted agent
 1212 ??         0:15.12 /System/Library/Frameworks/ManagedAppDistribution.framework/Support/managedappdistributiond
 1233 ??         0:15.69 /System/Library/Frameworks/ManagedAppDistribution.framework/Support/managedappdistributionagent
 1307 ??         2:00.27 /Applications/WhatsApp.app/Contents/PlugIns/ServiceExtension.appex/Contents/MacOS/ServiceExtension -AppleLanguages ("en-IN")
 1371 ??         0:18.32 /System/Library/CoreServices/PowerChime.app/Contents/MacOS/PowerChime
 1415 ??         0:40.14 /usr/libexec/wifivelocityd
 1431 ??         1:10.18 /System/Library/ExtensionKit/Extensions/TGOnDeviceInferenceProviderService.appex/Contents/MacOS/TGOnDeviceInferenceProviderService -LaunchArguments eyJ0eXBlIjo4LCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS50Z29uZGV2aWNlaW5mZXJlbmNlcHJvdmlkZXJzZXJ2aWNlIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
 1433 ??         0:04.25 /System/Library/ExtensionKit/Extensions/GenerativeExperiencesSafetyInferenceProvider.appex/Contents/MacOS/GenerativeExperiencesSafetyInferenceProvider -LaunchArguments eyJ0eXBlIjo4LCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5HZW5lcmF0aXZlRnVuY3Rpb25zLkdlbmVyYXRpdmVFeHBlcmllbmNlc1NhZmV0eUluZmVyZW5jZVByb3ZpZGVyIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
 1434 ??         0:21.99 /System/Library/ExtensionKit/Extensions/TGOnDeviceInferenceProviderService.appex/Contents/MacOS/TGOnDeviceInferenceProviderService -LaunchArguments eyJ0eXBlIjo4LCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS50Z29uZGV2aWNlaW5mZXJlbmNlcHJvdmlkZXJzZXJ2aWNlIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
 1547 ??       298:06.15 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome --user-data-dir=/Users/tanushshoor/Library/Application Support/Google/Chrome --no-startup-window
 1550 ??         0:01.04 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.174/Helpers/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --database=/Users/tanushshoor/Library/Application Support/Google/Chrome/Crashpad --metrics-dir=/Users/tanushshoor/Library/Application Support/Google/Chrome --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=OS X --annotation=prod=Chrome_Mac --annotation=ver=151.0.7922.174 --handshake-fd=5
